ds,yhat,yhat_lower,yhat_upper
2025-08-25,35.27790156757354,34.50928407241917,36.12497728351094
2025-08-26,35.05967656566305,34.25369975168947,35.8344410673126
2025-08-27,34.79964223613381,34.03396140105367,35.51499163874131
2025-08-28,34.98373778494803,34.20420881233849,35.85685294518371
2025-08-29,34.85818740794311,34.08934687476348,35.5780909560323
2025-08-30,34.95044244724133,34.14561619539232,35.75046582368476
2025-08-31,35.05902711695737,34.29099845079406,35.839087515156905
2025-09-01,35.27472137997226,34.497063992291736,36.09652528146937
2025-09-02,35.05647144663468,34.2266214719071,35.84258454209555
2025-09-03,34.79631490713598,34.0560022412459,35.556359557119436
2025-09-04,34.980287802716134,34.21673410906267,35.75802580951112
2025-09-05,34.85442350537183,34.08836270120508,35.66525717051276
2025-09-06,34.94636462433074,34.18543336225619,35.7174083378384
2025-09-07,35.05452387103681,34.27544416416818,35.89932529398374
2025-09-08,35.269734768342325,34.469016817681656,35.99319555184214
2025-09-09,35.051022893009375,34.24005072646575,35.824257497058966
2025-09-10,34.790490859361924,33.987063498382,35.58571743579275
2025-09-11,34.974088260794105,34.18699237289456,35.730000670246895
2025-09-12,34.847985691259005,34.07369753189391,35.63466630620551
2025-09-13,34.939657870301694,34.17915336257356,35.74780014029517
2025-09-14,35.0476633225517,34.241928889325514,35.83040755860185
2025-09-15,35.262519391943165,34.46140313897232,36.016028320663686
2025-09-16,35.04345268869628,34.260476839761836,35.832019779292835
2025-09-17,34.78230770159672,34.01466780862069,35.53254097695995
2025-09-18,34.96529214957624,34.127190381654174,35.73926112134313
2025-09-19,34.83822202458605,34.03281778799271,35.575689279269525
2025-09-20,34.928412112812765,34.10288583772367,35.678242260688826
2025-09-21,35.03493547424717,34.28428048096926,35.86733584713983
2025-09-22,35.24855205356562,34.41513837332155,35.978159700269465
2025-09-23,35.02824586024471,34.240924766728085,35.80639658157542
2025-09-24,34.765721139899085,33.95789738084394,35.56257029109564
2025-09-25,34.946068303954874,34.199580256699434,35.68358452473035
2025-09-26,34.816769850382016,34.00115928462751,35.557926973286534
2025-09-27,34.90395581961145,34.11148192594047,35.664445157015365
2025-09-28,35.00747506204843,34.19198991098463,35.84101900084302
2025-09-29,35.21750127527179,34.41068546213915,36.033916185153124
2025-09-30,34.99302450840433,34.18528968069489,35.74681082844634
2025-10-01,34.72673841391817,34.00275697426172,35.495588012225305
2025-10-02,34.90392980268972,34.12012688713038,35.697712866726945
2025-10-03,34.771475573832696,33.98563216322692,35.57762954301608
2025-10-04,34.85619383958563,34.1102036916314,35.56883497789005
2025-10-05,34.95658326785199,34.16523136198628,35.734832817599454
2025-10-06,35.16408228941447,34.31491468374123,35.92506895752465
2025-10-07,34.937349562549066,34.09194322437382,35.71931667718558
2025-10-08,34.6688075080641,33.85493119772982,35.41224013115057
2025-10-09,34.84439488865775,34.09426089962564,35.667265000221605
2025-10-10,34.710336651623265,33.9300109383801,35.46862514324169
2025-10-11,34.794083830892056,34.00195887183931,35.57773925998066
2025-10-12,34.89416428336678,34.10173271845028,35.610369390537095
2025-10-13,35.101354329140236,34.350178920115304,35.84705582820167
2025-10-14,34.87462160227437,34.07113715977468,35.63690186626287
2025-10-15,34.60607954779029,33.83508793640956,35.418496409870386
2025-10-16,34.781666928383785,33.985077959116104,35.64038609475915
2025-10-17,34.64760869134944,33.886526431682,35.46232660369598
2025-10-18,34.73135587061774,33.94050994623753,35.589574271251955
2025-10-19,34.831436323092994,34.04835569748195,35.66369633966885
2025-10-20,35.0386263688665,34.2371543407122,35.815493405323785
2025-10-21,34.811893642000165,34.03074796648435,35.602017053417576
2025-10-22,34.543351587516476,33.726788650792464,35.30627632263901
2025-10-23,34.71893896810961,33.93350984865762,35.49836098168521
2025-10-24,34.58488073107529,33.76679841155988,35.39827334226507
2025-10-25,34.668627910343886,33.9486794904073,35.41577348106796
2025-10-26,34.76870836281921,33.99504142476745,35.53259633392435
2025-10-27,34.97589840859227,34.129226729640614,35.7614820145996
2025-10-28,34.74916568172721,33.95594182986298,35.50521706187383
2025-10-29,34.480623627241876,33.71903744292481,35.283589873985534
2025-10-30,34.65621100783585,33.8862989241526,35.47213735130638
2025-10-31,34.522152770801135,33.752475561558796,35.30515454905571
2025-11-01,34.6058999500698,33.796585735723504,35.39844040916409
2025-11-02,34.70598040254426,33.86433224293717,35.49662213000845
2025-11-03,34.91317044831853,34.15711074231824,35.714286965195676
2025-11-04,34.686437721453004,33.93741488808877,35.44818662874764
2025-11-05,34.41789566696807,33.666429409710815,35.18899577382994
2025-11-06,34.593483047561676,33.773983255473276,35.410124177394366
2025-11-07,34.459424810527,33.64157738162134,35.22653306580636
2025-11-08,34.54317198979541,33.783020415329766,35.32303460582903
2025-11-09,34.64325244227047,33.862842208557325,35.43728550308086
2025-11-10,34.8504424880438,34.0212120867029,35.696299299903956
2025-11-11,34.623709761178304,33.863808524156276,35.36359022170377
2025-11-12,34.35516770669361,33.57297158702596,35.07735206683636
2025-11-13,34.530755087287304,33.830416174739156,35.35953875553528
2025-11-14,34.39669685025283,33.56478658825908,35.12806385473269
2025-11-15,34.480444029521315,33.64817766340312,35.30969867736835
2025-11-16,34.58052448199668,33.73889792839503,35.38267638904729
