ds,yhat,yhat_lower,yhat_upper
2025-08-25,35.93183637485192,33.77474632663675,38.39706054845426
2025-08-26,35.79969905204511,33.64335550152927,38.19613121806135
2025-08-27,35.3958350882568,33.04874005447285,37.69544902551429
2025-08-28,36.39506882645376,34.141679546103035,38.94856334870719
2025-08-29,33.51609371134249,31.080661215175784,35.77228888530873
2025-08-30,34.924414265859255,32.7336098964154,37.12755673548543
2025-08-31,35.12662410744292,32.80292800706139,37.537421727274705
2025-09-01,35.76854438720993,33.42551495087237,38.32048957024969
2025-09-02,35.63640706456633,33.24085705990653,38.0543731236259
2025-09-03,35.232543101054254,32.747592628031036,37.70550107204128
2025-09-04,36.231776839490195,34.133775534929775,38.598568635673224
2025-09-05,33.35280172464002,30.93738194485705,35.825694504489405
2025-09-06,34.76112227942785,32.30292443617198,36.97769419626061
2025-09-07,34.963332121344784,32.5683794543031,37.292793630320276
2025-09-08,35.6052524013523,33.376339954681164,38.152620471606355
2025-09-09,35.473115078946115,33.26743782737399,37.720685787846854
2025-09-10,35.06925111566857,32.63887749935307,37.46412665866265
2025-09-11,36.068484854333576,33.623326357801574,38.300845156426064
2025-09-12,33.18950973972184,30.54761008171898,35.61590355713782
2025-09-13,34.597830293861655,32.157995148475,37.00826244892745
2025-09-14,34.80004013502042,32.3633661308645,36.998350697184414
2025-09-15,35.44196041428883,33.18383407510618,37.90812831409093
2025-09-16,35.309823091146384,32.80145459529667,37.84944653745085
2025-09-17,34.905959127057514,32.50073177326696,37.5082330566826
2025-09-18,35.90519286490535,33.51094141077411,38.351252105604296
2025-09-19,33.026217749056485,30.705422386108882,35.41210264461398
2025-09-20,34.43453830254756,32.03992485914028,37.003948546963805
2025-09-21,34.6367481430601,32.327252721870806,37.06307308072381
2025-09-22,35.278668408279756,32.985684811754545,37.61744074934762
2025-09-23,35.1465310710783,32.82161981299489,37.62659391668538
2025-09-24,34.74266647210725,32.34638328946349,37.234120713495095
2025-09-25,35.74189794926596,33.30460527429867,38.09226890192005
2025-09-26,32.862920573060386,30.527815720358713,35.27210401756487
2025-09-27,34.27122489796723,31.918786696329864,36.75306192039381
2025-09-28,34.47341850989259,32.01866133562599,36.75776617608203
2025-09-29,35.115315756217704,32.76690896373794,37.501132884310586
2025-09-30,34.98315528679987,32.75533546907576,37.500020629041195
2025-10-01,34.579268176402756,32.190168980599196,37.03074418375798
2025-10-02,35.57846408187669,33.159109138004744,37.9167822266784
2025-10-03,32.699451133987345,30.18547141700338,34.9792283235164
2025-10-04,34.10772512085264,31.70699150547134,36.698124086129646
2025-10-05,34.309888358923054,32.00119495389895,36.61724164477348
2025-10-06,34.95176203516193,32.5591759878093,37.1930466400832
2025-10-07,34.819578036188304,32.56451749552305,36.95118738802774
2025-10-08,34.415667396221835,31.973708432361537,36.78889334921482
2025-10-09,35.41485445820085,33.04524444787928,37.703248415976844
2025-10-10,32.53583266680729,30.131012968409397,34.868875411775505
2025-10-11,33.94410654505217,31.56171056457686,36.186418751104526
2025-10-12,34.14626971030058,31.711339667828724,36.441261231207534
2025-10-13,34.78814331373306,32.248281899824754,37.17216158895624
2025-10-14,34.65595931475702,32.30015062506552,37.24508474238941
2025-10-15,34.2520486747979,31.826763921830207,36.414064942875235
2025-10-16,35.251235736773154,32.82761898251167,37.62953096001471
2025-10-17,32.37221394538362,29.86953954931534,34.861103626969765
2025-10-18,33.78048782362181,31.31599754428114,36.236145424035655
2025-10-19,33.982650988875136,31.576803457296133,36.289752353963145
2025-10-20,34.62452459230981,32.256225694717465,36.81872427412949
2025-10-21,34.49234059333102,32.11238187804575,36.820434219917
2025-10-22,34.08842995337397,31.667599155344412,36.49569423440828
2025-10-23,35.08761701534371,32.589679290826844,37.48317841142852
2025-10-24,32.20859522395576,29.81550179664282,34.59870129434928
2025-10-25,33.61686910219772,31.062336407679652,36.04852165145879
2025-10-26,33.819032267449685,31.432943988765288,36.232863589719614
2025-10-27,34.46090587088095,32.1807277361039,36.84532288294703
2025-10-28,34.328721871904605,31.75902124243573,36.62471628425694
2025-10-29,33.924811231942236,31.644152040060018,36.2295381673506
2025-10-30,34.92399829391775,32.465737388748146,37.25155109414059
2025-10-31,32.04497650252712,29.5705467076456,34.489086658588896
2025-11-01,33.45325038077049,31.27479926048754,35.81340638350677
2025-11-02,33.65541354602026,31.175997064425445,36.10383213900759
2025-11-03,34.2972871494577,31.881382778452096,36.76495247632114
2025-11-04,34.16510315047861,31.77261674890653,36.69676264053396
2025-11-05,33.7611925105183,31.39105786873062,36.037460838313756
2025-11-06,34.76037957248831,32.400414331524814,37.101186664949914
2025-11-07,31.88135778109927,29.57386842849742,34.18917584383256
2025-11-08,33.289631659339065,30.783774116034365,35.65762356885112
2025-11-09,33.49179482459482,31.101063261838114,35.883503993093456
2025-11-10,34.1336684280232,31.74567476515687,36.672890866149054
2025-11-11,34.00148442904732,31.664746119113037,36.4518248052908
2025-11-12,33.59757378908475,31.114501983237563,36.060460844093726
2025-11-13,34.59676085106513,32.22468975621588,36.97986046919322
2025-11-14,31.717739059670624,29.392164178160563,33.96085479123053
2025-11-15,33.12601293791184,30.680685407929833,35.49087311937138
2025-11-16,33.32817610316937,30.949325616057706,35.74110958476536
