ds,yhat,yhat_lower,yhat_upper
2025-08-25,24.556171608309494,23.613537346844367,25.533202079296025
2025-08-26,25.106092785885206,24.101409242092725,26.066860460825794
2025-08-27,25.145308016099616,24.1403271094894,26.118185462955644
2025-08-28,24.976298530441856,23.99985245282139,25.960590470785757
2025-08-29,25.08495715871837,24.060782049228177,26.09513816003321
2025-08-30,24.655868338224277,23.76662116797189,25.634946100615956
2025-08-31,24.99789820643982,24.052763011574896,25.944008096355812
2025-09-01,24.542603697648374,23.556009432728548,25.40847494261408
2025-09-02,25.092524874207548,24.2359420134468,26.116837666052106
2025-09-03,25.13174010353688,24.154181162828323,26.065022423249122
2025-09-04,24.96273061695924,23.99183143113906,25.997843428724863
2025-09-05,25.071389244536498,24.1415698985428,26.004896452864013
2025-09-06,24.642300423345667,23.70177248122514,25.622393612127816
2025-09-07,24.984330291586257,24.031858073823905,25.958121539299846
2025-09-08,24.52903578321701,23.53376572150387,25.51667511098887
2025-09-09,25.07895696094844,24.13389405761045,26.150372263308483
2025-09-10,25.118172191797036,24.166727601585592,26.08062317355933
2025-09-11,24.9491627067391,23.960579044383763,25.894057098086765
2025-09-12,25.05782133438803,24.074744431273746,26.04194798783279
2025-09-13,24.628732506523896,23.656112042785168,25.626816090540068
2025-09-14,24.970762368111224,23.953469371742468,25.967489946059228
2025-09-15,24.515467852770495,23.59892307869009,25.494281535242408
2025-09-16,25.06538902353053,24.0348244498039,26.039607923865358
2025-09-17,25.104604224262097,24.15496619037104,26.071296888322074
2025-09-18,24.93559470908908,24.004177263047403,25.848239698296172
2025-09-19,25.043996345198916,24.107302601686147,26.028599899839698
2025-09-20,24.614620293298593,23.603456302338568,25.580532951477068
2025-09-21,24.95636293084742,24.05897424470583,25.8742299780401
2025-09-22,24.500780949972086,23.601056579739843,25.489324194548914
2025-09-23,25.05041465519995,24.12069076201843,26.00043806297557
2025-09-24,25.08934234977216,24.15311345121987,26.08702434501974
2025-09-25,24.920045321341952,23.91748750064712,25.90324334570252
2025-09-26,25.028416406405015,24.06774207855739,25.99087590428758
2025-09-27,24.599040041845658,23.62427040954065,25.58572083256471
2025-09-28,24.940782366737263,23.949992339810006,25.939192386936732
2025-09-29,24.485200314794383,23.587759276943004,25.515684397243383
2025-09-30,25.03483394919593,24.031663962309178,26.048952628614437
2025-10-01,25.07376163623513,24.10404358670691,26.00172199231762
2025-10-02,24.904464606187403,23.885476807001087,25.810351988456958
2025-10-03,25.012835689631594,24.06362970305762,26.015124944879034
2025-10-04,24.583459324434628,23.663242352640523,25.60470542257549
2025-10-05,24.925201648850997,23.943449924312358,25.942022017257933
2025-10-06,24.469619596261886,23.459710253944035,25.381597320199837
2025-10-07,25.019117279925776,24.063168423744333,25.92871449383664
2025-10-08,25.057909016230678,24.05551474872726,25.98081785299699
2025-10-09,24.888476036629136,23.896362654616677,25.838450351327342
2025-10-10,24.996711170519642,23.98927215194014,26.06407809018595
2025-10-11,24.567198855639663,23.568530296031035,25.51465788629727
2025-10-12,24.90880523020865,23.964505849008557,25.786979823011304
2025-10-13,24.453087227771658,23.50608655387554,25.405369070298953
2025-10-14,25.00258491143659,24.0930717914862,25.979300230449542
2025-10-15,25.041376647738876,24.06265021853701,26.013945185925827
2025-10-16,24.871943668138126,23.873558072613374,25.851389045241792
2025-10-17,24.98017880202961,24.04113541327127,25.9126936061348
2025-10-18,24.550666487148444,23.566311821655635,25.526919371979705
2025-10-19,24.892272861717988,23.946729087113418,25.87388190113207
2025-10-20,24.43655485928051,23.470511815564606,25.35746878339672
2025-10-21,24.986052542945952,24.06903850639435,25.946484213633447
2025-10-22,25.024844279247073,24.031225101234586,25.994817717585576
2025-10-23,24.855411299648694,23.836949941458457,25.88654729560515
2025-10-24,24.963646433539303,23.99085466845085,25.905731155699584
2025-10-25,24.534134118658294,23.586303523723487,25.477133067752373
2025-10-26,24.875740493227326,23.96641218338793,25.798459422757556
2025-10-27,24.420022490790284,23.52516431589314,25.41632230551446
2025-10-28,24.969520174454136,23.97081115288921,25.917254645601673
2025-10-29,25.00831191075864,24.061312278626072,26.008891720356868
2025-10-30,24.83887893115609,23.840046791111238,25.798824706758644
2025-10-31,24.94711406504783,24.005808526692995,25.838552481951318
2025-11-01,24.51760175016761,23.60031045686707,25.480064468200034
2025-11-02,24.859208124737172,23.86875161851783,25.788378905901478
2025-11-03,24.403490122299136,23.45380525572134,25.420018029821687
2025-11-04,24.952987805963502,24.07873919472698,25.91347903339694
2025-11-05,24.99177954226684,24.02190642575564,26.00637688697379
2025-11-06,24.822346562666656,23.8756168509442,25.812690114363274
2025-11-07,24.930581696557528,24.018607316715507,25.879833939737953
2025-11-08,24.50106938167716,23.544663888912254,25.477309613658104
2025-11-09,24.84267575624651,23.806360537871246,25.845720824364932
2025-11-10,24.386957753809828,23.44961672932873,25.357009677213778
2025-11-11,24.93645543747431,23.986746694774993,25.920951141291802
2025-11-12,24.975247173778296,23.961228170861954,25.916448324649448
2025-11-13,24.805814194176385,23.884864293215173,25.852481964874144
2025-11-14,24.91404932806605,23.94573298834565,25.874745932529283
2025-11-15,24.48453701318648,23.458560318217287,25.49202735315414
2025-11-16,24.82614338775585,23.914928831991833,25.832643731550377
