ds,yhat,yhat_lower,yhat_upper
2025-08-25,0.3010667456912014,0.2652458991632568,0.33998781045896187
2025-08-26,0.31005258484115844,0.27388556669816316,0.34533386938248356
2025-08-27,0.30177836019421034,0.2668692917116041,0.33796017461322164
2025-08-28,0.3009818607619057,0.2654204751056877,0.3372786528520558
2025-08-29,0.28785847080179483,0.2523513871473394,0.32447613900881267
2025-08-30,0.30285398967841026,0.2642937322331081,0.3388027591833624
2025-08-31,0.30200456559091027,0.2659019339505926,0.3391122166611298
2025-09-01,0.2995628918118245,0.26219629799824445,0.33827362630054575
2025-09-02,0.30854873096445773,0.27365303950981934,0.34482058864048437
2025-09-03,0.3002745063175803,0.26348192280779537,0.3362367847559917
2025-09-04,0.29947800688406906,0.26316035930744386,0.3347608432128932
2025-09-05,0.28635461692274977,0.2507877796137207,0.3214139069253788
2025-09-06,0.30135013579824155,0.26285814707337785,0.33633945014685385
2025-09-07,0.30050071170584725,0.2630237270357056,0.333342815210294
2025-09-08,0.29805903792342486,0.2623459558503614,0.3327921305705129
2025-09-09,0.3070448770741153,0.2698657686438481,0.34303347388121525
2025-09-10,0.2987706524263883,0.26148954812829706,0.3358225145003689
2025-09-11,0.29797415299199975,0.26359739807356675,0.33511187557517336
2025-09-12,0.2848507630302398,0.24967221726341396,0.32096530493202863
2025-09-13,0.2998462819057155,0.26374816859130545,0.3326724482817389
2025-09-14,0.29899685781512864,0.26313334238451863,0.3350991380743054
2025-09-15,0.2965551840325452,0.25759644411778976,0.3324945143643771
2025-09-16,0.3055410231831152,0.2693462215460999,0.3424035410455811
2025-09-17,0.2972667985359723,0.25940765440038616,0.3339867436396806
2025-09-18,0.29647029910215844,0.2582645021551524,0.33324695626096423
2025-09-19,0.28334690914041505,0.243918991764841,0.3207298991840601
2025-09-20,0.2983424280132573,0.2590924695008232,0.3326771353867019
2025-09-21,0.29749300392003825,0.2600280984891018,0.33597904131313794
2025-09-22,0.2950513301353194,0.25908184315521743,0.330089953943702
2025-09-23,0.3040371692836878,0.27023226087450075,0.3409189184582816
2025-09-24,0.2957629446342063,0.26019016049800514,0.333939640643884
2025-09-25,0.29496644519670245,0.2577560029427257,0.32840861285292383
2025-09-26,0.28184305523059855,0.24554329067371858,0.317367927068791
2025-09-27,0.29683857410069026,0.2640758989390789,0.3329513558199306
2025-09-28,0.2959891500047194,0.260647735998424,0.3344889741168107
2025-09-29,0.29354747621598876,0.25803033876656895,0.3290283444150996
2025-09-30,0.3025333153572586,0.26925964055107476,0.33832063222795805
2025-10-01,0.29425909070163375,0.25582865912937125,0.3297761315998771
2025-10-02,0.2934625912578839,0.2562798293592771,0.331957350615638
2025-10-03,0.2803392012855717,0.24358140115816182,0.31593156439102826
2025-10-04,0.29533468407566543,0.2596594174750653,0.3312635194968177
2025-10-05,0.29448519288086444,0.25809992796959835,0.3350228055572283
2025-10-06,0.29204345199441994,0.2565137676807974,0.3283656036246509
2025-10-07,0.3010291928618177,0.26279059571003655,0.3368545416876509
2025-10-08,0.2927548699322271,0.2537297094817726,0.32712640800365217
2025-10-09,0.2919582722159798,0.2524683756904759,0.32700006468908394
2025-10-10,0.2788347839711027,0.24464464844438955,0.31500227229258476
2025-10-11,0.2938302045630248,0.25622874992662803,0.33274106901530853
2025-10-12,0.29298068218878426,0.2555018743802866,0.3298843370786839
2025-10-13,0.29053891012296795,0.2527351341519086,0.3275502469829747
2025-10-14,0.2995246509903558,0.2643297734915622,0.33306704186272845
2025-10-15,0.291250328060788,0.254706461367918,0.3288874872024444
