ds,service,env,latency_hat,cpu_hat,anom_hat,latency_norm,cpu_norm,anom_norm,risk_score
2025-10-17,EC2,dev,24.10304714238789,0.287656736750438,,0.6260796659762935,0.37296137302974897,0.0,0.362
2025-10-18,EC2,dev,24.599196039796087,0.2955074304221312,,0.8833088044131993,0.7219596775686788,0.0,0.57
2025-10-19,EC2,dev,24.824272438136692,0.3017619290010594,,1.0,1.0,0.0,0.7
2025-10-20,EC2,dev,24.312548149779825,0.293662195758412,,0.7346957768143966,0.639930777188012,0.0,0.486
2025-10-21,EC2,dev,24.24432449595732,0.2842857125659563,,0.6993251213812092,0.2231043318378574,0.0,0.347
2025-10-22,EC2,dev,24.048054360152104,0.2915710631433009,,0.5975685757196091,0.5469706175181411,0.0,0.403
2025-10-23,EC2,dev,24.674926003286306,0.2933584925501292,,0.9225711173281473,0.6264298167371019,0.0,0.557
2025-10-24,EC2,dev,23.801148281074237,0.2859838310435351,,0.46955974948255025,0.29859326241708456,0.0,0.277
2025-10-25,EC2,dev,24.29729717848408,0.2938345247152386,,0.7267888879203088,0.6475915669564735,0.0,0.485
2025-10-26,EC2,dev,24.522373576823405,0.3000890232941587,,0.8434800835064465,0.9256318893874343,0.0,0.615
2025-10-27,EC2,dev,24.01064928846516,0.2919892900515001,,0.5781758603201284,0.5655626665749478,0.0,0.401
2025-10-28,EC2,dev,23.94242563464371,0.2826128068590535,,0.5428052048874881,0.14873622122519797,0.0,0.262
2025-10-29,EC2,dev,23.74615549883804,0.2898981574363986,,0.4410486592256522,0.47260250690550387,0.0,0.318
2025-10-30,EC2,dev,24.37302714197177,0.2916855868432315,,0.7660512008339474,0.5520617061246694,0.0,0.472
2025-10-31,EC2,dev,23.49924941975931,0.2843109253366363,,0.3130398329881458,0.22422515180460525,0.0,0.192
2025-11-01,EC2,dev,23.99539831717023,0.2921616190083473,,0.5702689714264643,0.5732234563443273,0.0,0.4
2025-11-02,EC2,dev,24.220474715509862,0.2984161175872599,,0.6869601670127604,0.8512637787749525,0.0,0.53
2025-11-03,EC2,dev,23.708750427152356,0.2903163843445921,,0.42165594382682536,0.4911945559620588,0.0,0.316
2025-11-04,EC2,dev,23.640526773330222,0.280939901152155,,0.3862852883938314,0.074368110612731,0.0,0.177
2025-11-05,EC2,dev,23.44425663752492,0.2882252517295091,,0.28452874273218526,0.39823439629343665,0.0,0.233
2025-11-06,EC2,dev,24.071128280658133,0.2900126811363222,,0.6095312843402115,0.47769359551172375,0.0,0.387
2025-11-07,EC2,dev,23.197350558445653,0.2826380196297334,,0.15651991649440078,0.14985704119194088,0.0,0.108
2025-11-08,EC2,dev,23.69349945585433,0.2904887133014059,,0.41374905493155517,0.49885534572995277,0.0,0.315
2025-11-09,EC2,dev,23.91857585419657,0.2967432118803592,,0.5304402505192032,0.7768956681623869,0.0,0.445
2025-11-10,EC2,dev,23.40685156583583,0.2886434786376763,,0.2651360273315921,0.4168264453488219,0.0,0.231
2025-11-11,EC2,dev,23.338627912015443,0.2792669954452506,,0.22976537189950433,0.0,0.0,0.092
2025-11-12,EC2,dev,23.142357776209103,0.2865523460225727,,0.12800882623732035,0.32386628567928427,0.0,0.148
2025-11-13,EC2,dev,23.769229419345034,0.2883397754294414,,0.45301136784675566,0.40332548490004155,0.0,0.302
2025-11-14,EC2,dev,22.89545169713073,0.2809651139228346,,0.0,0.0754889305794591,0.0,0.023
2025-11-15,EC2,dev,23.39160059454048,0.2888158075945147,,0.25722913843771067,0.42448723511780906,0.0,0.23
2025-10-18,EC2,prod,24.78456913964488,0.4571119869946138,0.0128782685240555,0.55708501728612,0.0,0.3639299822886381,0.332
2025-10-19,EC2,prod,24.70533675731139,0.4615819953521004,0.0173254946580237,0.3681638452125415,0.13295931121030177,0.7239893824940405,0.404
2025-10-20,EC2,prod,24.784509815863867,0.4576320670873212,0.0172955366045369,0.5569435660522846,0.01546965584186148,0.7215638978335263,0.444
2025-10-21,EC2,prod,24.9067339211192,0.4617488982154973,0.0164370642472594,0.8483739199105462,0.13792379628091886,0.6520596646906869,0.576
2025-10-22,EC2,prod,24.79238209626176,0.462673208697505,0.0164344801203349,0.5757141797314517,0.1654171867186286,0.6518504468181384,0.475
2025-10-23,EC2,prod,24.970324970325148,0.4604762353153118,0.0207346033515475,1.0,0.10006874790541304,1.0,0.73
2025-10-24,EC2,prod,24.91320237782909,0.4718875814024335,0.010283894242021,0.863797265607713,0.43949646132006587,0.15388245608736678,0.524
2025-10-25,EC2,prod,24.745967724270105,0.4633932457232972,0.0122447155789405,0.46504405598311804,0.18683451289317654,0.3126358302611296,0.336
2025-10-26,EC2,prod,24.66673534193662,0.4678632540807853,0.0166919417129029,0.27612288390954803,0.31979382410352125,0.6726952304660628,0.408
2025-10-27,EC2,prod,24.74590840048902,0.4639133258160188,0.0166619836594038,0.46490260474911316,0.20230416873546073,0.6702697458045525,0.448
2025-10-28,EC2,prod,24.868132505744427,0.4680301569441827,0.0158035113021337,0.7563329586075442,0.3247583091741548,0.6007655126623119,0.58
2025-10-29,EC2,prod,24.75378068088693,0.4689544674262282,0.0158009271752037,0.4836732184283141,0.352251699612989,0.6005562947893186,0.479
2025-10-30,EC2,prod,24.93172355495013,0.4667574940439806,0.020101050406416,0.9079590386964136,0.2869032607981553,0.9487058479711558,0.734
2025-10-31,EC2,prod,24.874600962453904,0.4781688401311187,0.0096503412968837,0.7717563043037283,0.6263309742132969,0.10258830405805286,0.527
2025-11-01,EC2,prod,24.707366308894983,0.4696745044519856,0.0116111626338137,0.37300309467928594,0.3736690257865017,0.26134167823266596,0.34
2025-11-02,EC2,prod,24.62813392656161,0.4741445128094781,0.0160583887677633,0.18408192260598696,0.5066283369969785,0.6214010784365627,0.412
2025-11-03,EC2,prod,24.70730698511443,0.4701945845446904,0.0160284307142846,0.3728616434465432,0.3891386816282856,0.618975593776704,0.452
2025-11-04,EC2,prod,24.829531090369542,0.4743114156728658,0.0151699583570089,0.6642919973042797,0.5115928220673215,0.5494713606340103,0.584
2025-11-05,EC2,prod,24.71517926551205,0.4752357261548968,0.0151673742300838,0.39163225712505806,0.5390862125057246,0.5492621427614133,0.483
2025-11-06,EC2,prod,24.893122139575464,0.4730387527726887,0.019467497461286,0.8159180773936742,0.47373777369206665,0.8974116959424329,0.738
2025-11-07,EC2,prod,24.835999547078995,0.4844500988598121,0.0090167883517534,0.6797153430004045,0.8131654871067706,0.051294152029305776,0.531
2025-11-08,EC2,prod,24.66876489352069,0.4759557631806904,0.0109776096886686,0.28096213337743603,0.5605035386803139,0.2100475262027206,0.344
2025-11-09,EC2,prod,24.58953251118684,0.480425771538163,0.0154248358226425,0.09204096130299348,0.6934628498901996,0.5701069264085846,0.416
2025-11-10,EC2,prod,24.66870556973933,0.4764758432734139,0.0153948777691375,0.2808206821427704,0.5759731945226559,0.5676814417465967,0.455
2025-11-11,EC2,prod,24.790929674994548,0.4805926744015785,0.0145364054118732,0.5722510360007526,0.6984273349613699,0.49817720860482584,0.588
2025-11-12,EC2,prod,24.67657785013708,0.4815169848836232,0.0145338212849352,0.29959129582159016,0.7259207254001809,0.49796799073118453,0.487
2025-11-13,EC2,prod,24.85452072420016,0.4793200115013621,0.0188339445161725,0.7238771160894101,0.6605722865849459,0.8461175439150458,0.742
2025-11-14,EC2,prod,24.797398131703805,0.4907313575884973,0.0083832354066162,0.5876743816964114,1.0,0.0,0.535
2025-11-15,EC2,prod,24.630163478145583,0.4822370219093789,0.0103440567435418,0.18892117207363782,0.7473380515736424,0.1587533741742568,0.347
2025-11-16,EC2,prod,24.550931095812068,0.4867070302668479,0.0147912828775217,0.0,0.8802973627834207,0.5188127743806067,0.42
2025-10-18,EC2,staging,24.550666487148444,0.2923256626915484,,0.25664240709019454,0.7867890118872758,0.0,0.339
2025-10-19,EC2,staging,24.892272861717988,0.2914761403173466,,0.7921708450602308,0.7549812660181107,0.0,0.543
2025-10-20,EC2,staging,24.43655485928051,0.2890343682515512,,0.07775223882756312,0.6635566400190389,0.0,0.23
2025-10-21,EC2,staging,24.986052542945952,0.2980201091189209,,0.9391870893110112,1.0,0.0,0.676
2025-10-22,EC2,staging,25.024844279247077,0.2897457861893487,,1.0,0.6901934911007883,0.0,0.607
2025-10-23,EC2,staging,24.855411299648694,0.2889491884730766,,0.7343838240159677,0.6603673458589436,0.0,0.492
2025-10-24,EC2,staging,24.963646433539303,0.2758257002282103,,0.9040615481478858,0.16899879373354545,0.0,0.412
2025-10-25,EC2,staging,24.534134118658294,0.2908211208201329,,0.23072499414779415,0.7304560806440389,0.0,0.311
2025-10-26,EC2,staging,24.87574049322733,0.289971598445909,,0.766253432117034,0.6986483347740465,0.0,0.516
2025-10-27,EC2,staging,24.420022490790284,0.2875298263800992,,0.05183482588504579,0.6072237087744364,0.0,0.203
2025-10-28,EC2,staging,24.969520174454136,0.2965155672474652,,0.9132696763659989,0.9436670687552583,0.0,0.648
2025-10-29,EC2,staging,25.00831191075864,0.2882412443178825,,0.9740825870602842,0.6338605598556538,0.0,0.58
2025-10-30,EC2,staging,24.83887893115609,0.287444646601621,,0.7084664110697187,0.6040344146142061,0.0,0.465
